match_id,scheduled,player1_id,player2_id,winner_id,home_score,away_score
sr:match:41873613,2023-07-01T19:00:00+00:00,sr:competitor:284805,sr:competitor:309954,sr:competitor:284805,1.0,2.0
sr:match:41873617,2023-06-30T17:00:00+00:00,sr:competitor:309954,sr:competitor:63090,sr:competitor:309954,1.0,2.0
sr:match:41873589,2023-06-29T18:15:00+00:00,sr:competitor:309954,sr:competitor:685469,sr:competitor:309954,0.0,2.0
sr:match:41873601,2023-06-28T10:00:00+00:00,sr:competitor:145108,sr:competitor:309954,sr:competitor:309954,2.0,0.0
sr:match:41919681,2023-06-27T12:10:00+00:00,sr:competitor:82133,sr:competitor:309954,sr:competitor:309954,2.0,0.0
sr:match:41918415,2023-06-25T08:30:00+00:00,sr:competitor:158912,sr:competitor:309954,sr:competitor:158912,1.0,2.0
sr:match:41906049,2023-06-24T09:55:00+00:00,sr:competitor:47767,sr:competitor:309954,sr:competitor:309954,2.0,0.0
sr:match:41895463,2023-06-23T10:00:00+00:00,sr:competitor:23546,sr:competitor:309954,sr:competitor:309954,2.0,0.0
sr:match:41879645,2023-06-22T11:35:00+00:00,sr:competitor:66916,sr:competitor:309954,sr:competitor:309954,2.0,0.0
sr:match:41849881,2023-06-21T12:35:00+00:00,sr:competitor:313985,sr:competitor:309954,sr:competitor:309954,2.0,0.0
sr:match:42023951,2023-07-03T11:15:00+00:00,sr:competitor:195800,sr:competitor:22970,,,
sr:match:41438281,2023-05-29T15:40:00+00:00,sr:competitor:101101,sr:competitor:22970,sr:competitor:101101,0.0,3.0
sr:match:41345245,2023-05-22T10:55:00+00:00,sr:competitor:22970,sr:competitor:15894,sr:competitor:15894,2.0,0.0
sr:match:41148879,2023-05-10T10:30:00+00:00,sr:competitor:47770,sr:competitor:22970,sr:competitor:47770,0.0,2.0
sr:match:40895671,2023-05-06T12:30:00+00:00,sr:competitor:496346,sr:competitor:22970,sr:competitor:496346,1.0,2.0
sr:match:40895679,2023-05-05T09:00:00+00:00,sr:competitor:129368,sr:competitor:22970,sr:competitor:22970,2.0,0.0
sr:match:40895693,2023-05-04T09:00:00+00:00,sr:competitor:23664,sr:competitor:22970,sr:competitor:22970,2.0,1.0
sr:match:41012385,2023-05-02T12:30:00+00:00,sr:competitor:105607,sr:competitor:22970,sr:competitor:22970,2.0,1.0
sr:match:40844027,2023-04-27T14:45:00+00:00,sr:competitor:22970,sr:competitor:58221,sr:competitor:58221,2.0,1.0
sr:match:40680493,2023-04-17T14:30:00+00:00,sr:competitor:22970,sr:competitor:39234,sr:competitor:39234,2.0,1.0
sr:match:41923757,2023-06-27T20:05:00+00:00,sr:competitor:35167,sr:competitor:515510,sr:competitor:515510,2.0,0.0
sr:match:41774225,2023-06-24T19:00:00+00:00,sr:competitor:47295,sr:competitor:35167,sr:competitor:35167,2.0,1.0
sr:match:41774229,2023-06-23T21:30:00+00:00,sr:competitor:35167,sr:competitor:185434,sr:competitor:35167,0.0,2.0
sr:match:41774231,2023-06-22T17:45:00+00:00,sr:competitor:35167,sr:competitor:515510,sr:competitor:35167,0.0,2.0
sr:match:41774213,2023-06-21T22:00:00+00:00,sr:competitor:35167,sr:competitor:405977,sr:competitor:35167,0.0,2.0
sr:match:41804659,2023-06-20T16:00:00+00:00,sr:competitor:35167,sr:competitor:210592,sr:competitor:35167,0.0,2.0
sr:match:41412861,2023-05-24T14:10:00+00:00,sr:competitor:35167,sr:competitor:129368,sr:competitor:129368,2.0,0.0
sr:match:41366555,2023-05-23T14:00:00+00:00,sr:competitor:138528,sr:competitor:35167,sr:competitor:35167,2.0,1.0
sr:match:41247679,2023-05-15T13:00:00+00:00,sr:competitor:35167,sr:competitor:113905,sr:competitor:113905,2.0,1.0
sr:match:41020233,2023-05-10T13:40:00+00:00,sr:competitor:35167,sr:competitor:43748,sr:competitor:43748,2.0,0.0
sr:match:41868931,2023-06-30T13:30:00+00:00,sr:competitor:157808,sr:competitor:206879,sr:competitor:206879,2.0,1.0
sr:match:41868935,2023-06-29T10:00:00+00:00,sr:competitor:218538,sr:competitor:157808,sr:competitor:157808,2.0,0.0
sr:match:41868949,2023-06-27T12:25:00+00:00,sr:competitor:124930,sr:competitor:157808,sr:competitor:157808,2.0,0.0
sr:match:41930483,2023-06-26T12:25:00+00:00,sr:competitor:157808,sr:competitor:108565,sr:competitor:157808,0.0,2.0
sr:match:41918571,2023-06-25T13:10:00+00:00,sr:competitor:871495,sr:competitor:157808,sr:competitor:157808,2.0,1.0
sr:match:41916285,2023-06-24T11:00:00+00:00,sr:competitor:41857,sr:competitor:157808,sr:competitor:157808,2.0,1.0
sr:match:41801441,2023-06-19T11:35:00+00:00,sr:competitor:157808,sr:competitor:117916,sr:competitor:117916,2.0,0.0
sr:match:41683295,2023-06-10T09:00:00+00:00,sr:competitor:157808,sr:competitor:671637,sr:competitor:671637,2.0,0.0
sr:match:41438285,2023-05-30T10:40:00+00:00,sr:competitor:157808,sr:competitor:57163,sr:competitor:57163,3.0,0.0
sr:match:41366473,2023-05-22T10:30:00+00:00,sr:competitor:157808,sr:competitor:63606,sr:competitor:63606,2.0,0.0
sr:match:41929249,2023-06-26T11:20:00+00:00,sr:competitor:211038,sr:competitor:202627,,,
sr:match:41802143,2023-06-19T16:05:00+00:00,sr:competitor:211038,sr:competitor:345576,sr:competitor:345576,2.0,1.0
sr:match:41694307,2023-06-11T10:00:00+00:00,sr:competitor:539343,sr:competitor:211038,sr:competitor:539343,0.0,2.0
sr:match:41514005,2023-06-07T10:30:00+00:00,sr:competitor:211038,sr:competitor:300540,sr:competitor:300540,2.0,0.0
sr:match:41622253,2023-06-06T11:35:00+00:00,sr:competitor:211038,sr:competitor:210526,sr:competitor:211038,1.0,2.0
sr:match:41583895,2023-06-05T08:00:00+00:00,sr:competitor:295508,sr:competitor:211038,sr:competitor:211038,2.0,1.0
sr:match:41573083,2023-06-04T09:25:00+00:00,sr:competitor:904033,sr:competitor:211038,sr:competitor:211038,2.0,0.0
sr:match:41305011,2023-05-27T10:50:00+00:00,sr:competitor:341192,sr:competitor:211038,sr:competitor:211038,2.0,0.0
sr:match:41305013,2023-05-26T08:30:00+00:00,sr:competitor:202627,sr:competitor:211038,sr:competitor:211038,2.0,0.0
sr:match:41305021,2023-05-25T11:30:00+00:00,sr:competitor:211038,sr:competitor:172482,sr:competitor:211038,0.0,2.0
sr:match:41929251,2023-06-26T11:10:00+00:00,sr:competitor:230468,sr:competitor:131442,sr:competitor:131442,2.0,1.0
sr:match:41802291,2023-06-19T15:00:00+00:00,sr:competitor:51100,sr:competitor:230468,sr:competitor:51100,0.0,2.0
sr:match:41466785,2023-05-30T16:15:00+00:00,sr:competitor:230468,sr:competitor:229022,,,
sr:match:41426583,2023-05-26T10:25:00+00:00,sr:competitor:230468,sr:competitor:169486,sr:competitor:169486,2.0,1.0
sr:match:41408277,2023-05-24T14:20:00+00:00,sr:competitor:113979,sr:competitor:230468,sr:competitor:230468,2.0,0.0
sr:match:41366609,2023-05-23T11:05:00+00:00,sr:competitor:230468,sr:competitor:359608,sr:competitor:230468,0.0,2.0
sr:match:41247675,2023-05-15T15:05:00+00:00,sr:competitor:230468,sr:competitor:44547,sr:competitor:44547,2.0,0.0
sr:match:41103205,2023-05-08T15:00:00+00:00,sr:competitor:603096,sr:competitor:230468,sr:competitor:603096,1.0,2.0
sr:match:40824435,2023-04-25T08:00:00+00:00,sr:competitor:447687,sr:competitor:230468,sr:competitor:447687,,
